YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,2,0,59995,Cargurus
2023,2,12,51995,Cargurus
2023,2,10,49823,Cargurus
2023,2,18,48993,Cargurus
2023,2,11,54988,Cargurus
2023,2,8759,47 973,Autotrader
2019,6,53660,35158,Autotrader
2023,2,3346,51888,Autotrader
2019,6,54645,37388,Autotrader
2023,2,8,54995,Autotrader
2023,2,5,54995,Autotrader
2023,2,794,54995,Autotrader
2021,4,25314,40991,Autotrader
2022,3,5800,65000,Craigslist
2017,8,73328,31999,Craigslist
2019,6,76476,33999,Craigslist
